Date,Time Spent (seconds),Time Spent (HH:MM:SS),Number of People,Productivity
2018-03-01T00:00:00,24822,06:53:42,1,2
2018-03-01T00:00:00,5959,01:39:19,1,0
2018-03-01T00:00:00,2300,00:38:20,1,1
2018-03-01T00:00:00,575,00:09:35,1,-2
2018-03-01T00:00:00,14,00:00:14,1,-1
2018-03-05T00:00:00,18050,05:00:50,1,2
2018-03-05T00:00:00,11847,03:17:27,1,1
2018-03-05T00:00:00,5644,01:34:04,1,0
2018-03-05T00:00:00,604,00:10:04,1,-2
2018-03-06T00:00:00,17773,04:56:13,1,2
2018-03-06T00:00:00,8153,02:15:53,1,1
2018-03-06T00:00:00,2162,00:36:02,1,0
2018-03-06T00:00:00,314,00:05:14,1,-2
2018-03-07T00:00:00,9719,02:41:59,1,2
2018-03-07T00:00:00,7035,01:57:15,1,1
2018-03-07T00:00:00,1450,00:24:10,1,0
2018-03-07T00:00:00,178,00:02:58,1,-2
2018-03-07T00:00:00,2,00:00:02,1,-1
2018-03-08T00:00:00,23231,06:27:11,1,2
2018-03-08T00:00:00,3165,00:52:45,1,0
2018-03-08T00:00:00,1796,00:29:56,1,1
2018-03-08T00:00:00,827,00:13:47,1,-2
2018-03-09T00:00:00,19487,05:24:47,1,2
2018-03-09T00:00:00,10411,02:53:31,1,1
2018-03-09T00:00:00,2409,00:40:09,1,0
2018-03-09T00:00:00,840,00:14:00,1,-2
2018-03-12T00:00:00,15231,04:13:51,1,1
2018-03-12T00:00:00,13216,03:40:16,1,2
2018-03-12T00:00:00,3059,00:50:59,1,0
2018-03-12T00:00:00,2228,00:37:08,1,-2
2018-03-13T00:00:00,18915,05:15:15,1,2
2018-03-13T00:00:00,7683,02:08:03,1,1
2018-03-13T00:00:00,7587,02:06:27,1,0
2018-03-13T00:00:00,766,00:12:46,1,-2
2018-03-13T00:00:00,15,00:00:15,1,-1
2018-03-14T00:00:00,25513,07:05:13,1,2
2018-03-14T00:00:00,6645,01:50:45,1,1
2018-03-14T00:00:00,2966,00:49:26,1,0
2018-03-14T00:00:00,263,00:04:23,1,-2
2018-03-15T00:00:00,25907,07:11:47,1,2
2018-03-15T00:00:00,8026,02:13:46,1,1
2018-03-15T00:00:00,3451,00:57:31,1,0
2018-03-15T00:00:00,650,00:10:50,1,-2
2018-03-15T00:00:00,72,00:01:12,1,-1
2018-03-16T00:00:00,19010,05:16:50,1,2
2018-03-16T00:00:00,12806,03:33:26,1,1
2018-03-16T00:00:00,3952,01:05:52,1,0
2018-03-16T00:00:00,242,00:04:02,1,-2
2018-03-16T00:00:00,1,00:00:01,1,-1
2018-03-19T00:00:00,14709,04:05:09,1,2
2018-03-19T00:00:00,7794,02:09:54,1,0
2018-03-19T00:00:00,4003,01:06:43,1,1
2018-03-19T00:00:00,1255,00:20:55,1,-2
2018-03-19T00:00:00,4,00:00:04,1,-1
2018-03-20T00:00:00,14566,04:02:46,1,2
2018-03-20T00:00:00,5160,01:26:00,1,0
2018-03-20T00:00:00,3707,01:01:47,1,1
2018-03-20T00:00:00,2885,00:48:05,1,-2
2018-03-20T00:00:00,77,00:01:17,1,-1
2018-03-21T00:00:00,10157,02:49:17,1,2
2018-03-21T00:00:00,3499,00:58:19,1,0
2018-03-21T00:00:00,2249,00:37:29,1,-2
2018-03-21T00:00:00,2219,00:36:59,1,1
2018-03-21T00:00:00,52,00:00:52,1,-1
