Date,Time Spent (seconds),Time Spent (HH:MM:SS),Number of People,Productivity
2018-04-01T00:00:00,8812,02:26:52,1,1
2018-04-01T00:00:00,4334,01:12:14,1,2
2018-04-01T00:00:00,4330,01:12:10,1,-2
2018-04-01T00:00:00,2352,00:39:12,1,0
2018-04-01T00:00:00,15,00:00:15,1,-1
2018-04-02T00:00:00,20309,05:38:29,1,2
2018-04-02T00:00:00,15504,04:18:24,1,1
2018-04-02T00:00:00,3925,01:05:25,1,0
2018-04-02T00:00:00,2630,00:43:50,1,-2
2018-04-02T00:00:00,16,00:00:16,1,-1
2018-04-03T00:00:00,13682,03:48:02,1,1
2018-04-03T00:00:00,11992,03:19:52,1,2
2018-04-03T00:00:00,3996,01:06:36,1,0
2018-04-03T00:00:00,1827,00:30:27,1,-2
2018-04-04T00:00:00,16434,04:33:54,1,1
2018-04-04T00:00:00,8737,02:25:37,1,2
2018-04-04T00:00:00,2019,00:33:39,1,0
2018-04-04T00:00:00,1806,00:30:06,1,-2
2018-04-05T00:00:00,18089,05:01:29,1,2
2018-04-05T00:00:00,16921,04:42:01,1,1
2018-04-05T00:00:00,8379,02:19:39,1,0
2018-04-05T00:00:00,451,00:07:31,1,-2
2018-04-06T00:00:00,17079,04:44:39,1,1
2018-04-06T00:00:00,13672,03:47:52,1,2
2018-04-06T00:00:00,6494,01:48:14,1,0
2018-04-06T00:00:00,437,00:07:17,1,-2
2018-04-06T00:00:00,63,00:01:03,1,-1
2018-04-07T00:00:00,2519,00:41:59,1,-2
2018-04-07T00:00:00,775,00:12:55,1,2
2018-04-07T00:00:00,744,00:12:24,1,1
2018-04-07T00:00:00,141,00:02:21,1,0
2018-04-07T00:00:00,15,00:00:15,1,-1
2018-04-08T00:00:00,7950,02:12:30,1,2
2018-04-08T00:00:00,3819,01:03:39,1,-2
2018-04-08T00:00:00,2164,00:36:04,1,1
2018-04-08T00:00:00,1935,00:32:15,1,0
2018-04-09T00:00:00,19304,05:21:44,1,1
2018-04-09T00:00:00,18618,05:10:18,1,2
2018-04-09T00:00:00,2207,00:36:47,1,0
2018-04-09T00:00:00,1807,00:30:07,1,-2
2018-04-10T00:00:00,27343,07:35:43,1,2
2018-04-10T00:00:00,7015,01:56:55,1,1
2018-04-10T00:00:00,6360,01:46:00,1,0
2018-04-10T00:00:00,489,00:08:09,1,-2
2018-04-11T00:00:00,1450,00:24:10,1,1
2018-04-11T00:00:00,1311,00:21:51,1,-2
2018-04-11T00:00:00,528,00:08:48,1,0
2018-04-11T00:00:00,56,00:00:56,1,2
2018-04-12T00:00:00,19311,05:21:51,1,2
2018-04-12T00:00:00,15174,04:12:54,1,1
2018-04-12T00:00:00,5342,01:29:02,1,0
2018-04-12T00:00:00,2330,00:38:50,1,-2
2018-04-12T00:00:00,16,00:00:16,1,-1
2018-04-13T00:00:00,20562,05:42:42,1,1
2018-04-13T00:00:00,4928,01:22:08,1,2
2018-04-13T00:00:00,2633,00:43:53,1,-2
2018-04-13T00:00:00,1615,00:26:55,1,0
2018-04-14T00:00:00,4138,01:08:58,1,-2
2018-04-14T00:00:00,313,00:05:13,1,1
2018-04-14T00:00:00,58,00:00:58,1,0
2018-04-14T00:00:00,40,00:00:40,1,2
2018-04-15T00:00:00,4836,01:20:36,1,-2
2018-04-15T00:00:00,1308,00:21:48,1,1
2018-04-15T00:00:00,729,00:12:09,1,2
2018-04-15T00:00:00,401,00:06:41,1,0
2018-04-16T00:00:00,17838,04:57:18,1,2
2018-04-16T00:00:00,9326,02:35:26,1,1
2018-04-16T00:00:00,3983,01:06:23,1,0
2018-04-16T00:00:00,2281,00:38:01,1,-2
2018-04-16T00:00:00,15,00:00:15,1,-1
2018-04-17T00:00:00,18369,05:06:09,1,1
2018-04-17T00:00:00,16888,04:41:28,1,2
2018-04-17T00:00:00,3461,00:57:41,1,0
2018-04-17T00:00:00,1418,00:23:38,1,-2
2018-04-18T00:00:00,29606,08:13:26,1,2
2018-04-18T00:00:00,19280,05:21:20,1,1
2018-04-18T00:00:00,13364,03:42:44,1,0
2018-04-18T00:00:00,950,00:15:50,1,-2
2018-04-18T00:00:00,3,00:00:03,1,-1
2018-04-19T00:00:00,15198,04:13:18,1,2
2018-04-19T00:00:00,14439,04:00:39,1,1
2018-04-19T00:00:00,6516,01:48:36,1,0
2018-04-19T00:00:00,1548,00:25:48,1,-2
2018-04-19T00:00:00,54,00:00:54,1,-1
2018-04-20T00:00:00,17753,04:55:53,1,2
2018-04-20T00:00:00,15053,04:10:53,1,1
2018-04-20T00:00:00,1660,00:27:40,1,0
2018-04-20T00:00:00,955,00:15:55,1,-2
2018-04-20T00:00:00,11,00:00:11,1,-1
2018-04-21T00:00:00,1280,00:21:20,1,1
2018-04-21T00:00:00,1273,00:21:13,1,0
2018-04-21T00:00:00,830,00:13:50,1,-2
2018-04-21T00:00:00,391,00:06:31,1,2
2018-04-22T00:00:00,10494,02:54:54,1,1
2018-04-22T00:00:00,6307,01:45:07,1,2
2018-04-22T00:00:00,5132,01:25:32,1,-2
2018-04-22T00:00:00,2840,00:47:20,1,0
2018-04-22T00:00:00,35,00:00:35,1,-1
2018-04-23T00:00:00,17917,04:58:37,1,1
2018-04-23T00:00:00,14917,04:08:37,1,2
2018-04-23T00:00:00,2963,00:49:23,1,0
2018-04-23T00:00:00,1170,00:19:30,1,-2
2018-04-23T00:00:00,176,00:02:56,1,-1
2018-04-24T00:00:00,16460,04:34:20,1,2
2018-04-24T00:00:00,15883,04:24:43,1,1
2018-04-24T00:00:00,1171,00:19:31,1,0
2018-04-24T00:00:00,360,00:06:00,1,-2
2018-04-25T00:00:00,14567,04:02:47,1,1
2018-04-25T00:00:00,10971,03:02:51,1,2
2018-04-25T00:00:00,5471,01:31:11,1,0
2018-04-25T00:00:00,749,00:12:29,1,-2
2018-04-25T00:00:00,22,00:00:22,1,-1
2018-04-26T00:00:00,20882,05:48:02,1,2
2018-04-26T00:00:00,16848,04:40:48,1,1
2018-04-26T00:00:00,3685,01:01:25,1,0
2018-04-26T00:00:00,2171,00:36:11,1,-2
2018-04-26T00:00:00,879,00:14:39,1,-1
2018-04-27T00:00:00,13463,03:44:23,1,1
2018-04-27T00:00:00,13017,03:36:57,1,2
2018-04-27T00:00:00,2834,00:47:14,1,0
2018-04-27T00:00:00,436,00:07:16,1,-2
2018-04-27T00:00:00,242,00:04:02,1,-1
2018-04-28T00:00:00,16522,04:35:22,1,2
2018-04-28T00:00:00,1623,00:27:03,1,1
2018-04-28T00:00:00,1168,00:19:28,1,-2
2018-04-28T00:00:00,568,00:09:28,1,0
2018-04-29T00:00:00,17228,04:47:08,1,2
2018-04-29T00:00:00,9790,02:43:10,1,1
2018-04-29T00:00:00,2769,00:46:09,1,-2
2018-04-29T00:00:00,2393,00:39:53,1,0
2018-04-29T00:00:00,6,00:00:06,1,-1
2018-04-30T00:00:00,20140,05:35:40,1,1
2018-04-30T00:00:00,6264,01:44:24,1,2
2018-04-30T00:00:00,3657,01:00:57,1,0
2018-04-30T00:00:00,1536,00:25:36,1,-2
