Date,Time Spent (seconds),Time Spent (HH:MM:SS),Number of People,Productivity
2018-04-02T00:00:00,16701,04:38:21,1,2
2018-04-02T00:00:00,13842,03:50:42,1,1
2018-04-02T00:00:00,3300,00:55:00,1,0
2018-04-02T00:00:00,531,00:08:51,1,-2
2018-04-02T00:00:00,16,00:00:16,1,-1
2018-04-03T00:00:00,11960,03:19:20,1,1
2018-04-03T00:00:00,7970,02:12:50,1,2
2018-04-03T00:00:00,3426,00:57:06,1,0
2018-04-03T00:00:00,346,00:05:46,1,-2
2018-04-04T00:00:00,13537,03:45:37,1,1
2018-04-04T00:00:00,4770,01:19:30,1,2
2018-04-04T00:00:00,1256,00:20:56,1,0
2018-04-04T00:00:00,4,00:00:04,1,-2
2018-04-05T00:00:00,15436,04:17:16,1,1
2018-04-05T00:00:00,11417,03:10:17,1,2
2018-04-05T00:00:00,7545,02:05:45,1,0
2018-04-05T00:00:00,49,00:00:49,1,-2
2018-04-06T00:00:00,15624,04:20:24,1,1
2018-04-06T00:00:00,12843,03:34:03,1,2
2018-04-06T00:00:00,6392,01:46:32,1,0
2018-04-06T00:00:00,175,00:02:55,1,-2
2018-04-06T00:00:00,63,00:01:03,1,-1
2018-04-09T00:00:00,17643,04:54:03,1,1
2018-04-09T00:00:00,13731,03:48:51,1,2
2018-04-09T00:00:00,1751,00:29:11,1,0
2018-04-09T00:00:00,123,00:02:03,1,-2
2018-04-10T00:00:00,27343,07:35:43,1,2
2018-04-10T00:00:00,7015,01:56:55,1,1
2018-04-10T00:00:00,6360,01:46:00,1,0
2018-04-10T00:00:00,489,00:08:09,1,-2
2018-04-11T00:00:00,315,00:05:15,1,-2
2018-04-11T00:00:00,143,00:02:23,1,1
2018-04-11T00:00:00,28,00:00:28,1,0
2018-04-11T00:00:00,10,00:00:10,1,2
2018-04-12T00:00:00,17164,04:46:04,1,2
2018-04-12T00:00:00,11400,03:10:00,1,1
2018-04-12T00:00:00,4540,01:15:40,1,0
2018-04-12T00:00:00,573,00:09:33,1,-2
2018-04-13T00:00:00,18843,05:14:03,1,1
2018-04-13T00:00:00,4844,01:20:44,1,2
2018-04-13T00:00:00,2242,00:37:22,1,-2
2018-04-13T00:00:00,1536,00:25:36,1,0
2018-04-16T00:00:00,17684,04:54:44,1,2
2018-04-16T00:00:00,8082,02:14:42,1,1
2018-04-16T00:00:00,3458,00:57:38,1,0
2018-04-16T00:00:00,2195,00:36:35,1,-2
2018-04-16T00:00:00,12,00:00:12,1,-1
2018-04-17T00:00:00,14630,04:03:50,1,1
2018-04-17T00:00:00,11974,03:19:34,1,2
2018-04-17T00:00:00,1689,00:28:09,1,0
2018-04-17T00:00:00,102,00:01:42,1,-2
2018-04-18T00:00:00,19220,05:20:20,1,2
2018-04-18T00:00:00,13303,03:41:43,1,1
2018-04-18T00:00:00,10162,02:49:22,1,0
2018-04-18T00:00:00,334,00:05:34,1,-2
2018-04-18T00:00:00,1,00:00:01,1,-1
2018-04-19T00:00:00,12656,03:30:56,1,1
2018-04-19T00:00:00,11543,03:12:23,1,2
2018-04-19T00:00:00,3709,01:01:49,1,0
2018-04-19T00:00:00,69,00:01:09,1,-2
2018-04-19T00:00:00,54,00:00:54,1,-1
2018-04-20T00:00:00,15738,04:22:18,1,2
2018-04-20T00:00:00,13969,03:52:49,1,1
2018-04-20T00:00:00,1421,00:23:41,1,0
2018-04-20T00:00:00,458,00:07:38,1,-2
2018-04-23T00:00:00,15146,04:12:26,1,1
2018-04-23T00:00:00,14138,03:55:38,1,2
2018-04-23T00:00:00,2696,00:44:56,1,0
2018-04-23T00:00:00,643,00:10:43,1,-2
2018-04-23T00:00:00,176,00:02:56,1,-1
2018-04-24T00:00:00,16460,04:34:20,1,2
2018-04-24T00:00:00,14170,03:56:10,1,1
2018-04-24T00:00:00,1119,00:18:39,1,0
2018-04-24T00:00:00,84,00:01:24,1,-2
2018-04-25T00:00:00,10646,02:57:26,1,1
2018-04-25T00:00:00,7115,01:58:35,1,2
2018-04-25T00:00:00,5018,01:23:38,1,0
2018-04-25T00:00:00,26,00:00:26,1,-2
2018-04-25T00:00:00,19,00:00:19,1,-1
2018-04-26T00:00:00,16657,04:37:37,1,2
2018-04-26T00:00:00,13409,03:43:29,1,1
2018-04-26T00:00:00,3338,00:55:38,1,0
2018-04-26T00:00:00,1030,00:17:10,1,-2
2018-04-26T00:00:00,879,00:14:39,1,-1
2018-04-27T00:00:00,13463,03:44:23,1,1
2018-04-27T00:00:00,13017,03:36:57,1,2
2018-04-27T00:00:00,2834,00:47:14,1,0
2018-04-27T00:00:00,436,00:07:16,1,-2
2018-04-27T00:00:00,242,00:04:02,1,-1
2018-04-30T00:00:00,16062,04:27:42,1,1
2018-04-30T00:00:00,6063,01:41:03,1,2
2018-04-30T00:00:00,2831,00:47:11,1,0
2018-04-30T00:00:00,528,00:08:48,1,-2
